pad1_clearance,pad2_clearance,between_pad_arc,nozzle_hydraulic_diameter,journal_radius,mixing_coefficient
0.5,1,9,0.17,25.4,0.622667
0.5,1,9,0.17,50.8,0.564101
0.5,1,9,0.17,76.2,0.566105
0.5,1,9,0.25,25.4,0.519028
0.5,1,9,0.25,50.8,0.513891
0.5,1,9,0.25,76.2,0.529754
0.5,1,15,0.17,25.4,0.487152
0.5,1,15,0.17,50.8,0.478757
0.5,1,15,0.17,76.2,0.360593
0.5,1,15,0.25,25.4,0.765785
0.5,1,15,0.25,50.8,0.781949
0.5,1,15,0.25,76.2,0.710929
0.5,1.5,9,0.17,25.4,0.719101
0.5,1.5,9,0.17,50.8,0.73202
0.5,1.5,9,0.17,76.2,0.674852
0.5,1.5,9,0.25,25.4,0.654923
0.5,1.5,9,0.25,50.8,0.66161
0.5,1.5,9,0.25,76.2,0.705363
0.5,1.5,15,0.17,25.4,0.769469
0.5,1.5,15,0.17,50.8,0.653684
0.5,1.5,15,0.17,76.2,0.684842
0.5,1.5,15,0.25,25.4,0.711647
0.5,1.5,15,0.25,50.8,0.604758
0.5,1.5,15,0.25,76.2,0.642139
0.5,2,9,0.17,25.4,0.695728
0.5,2,9,0.17,50.8,0.542306
0.5,2,9,0.17,76.2,0.556164
0.5,2,9,0.25,25.4,0.568234
0.5,2,9,0.25,50.8,0.990065
0.5,2,9,0.25,76.2,0.985022
0.5,2,15,0.17,25.4,0.956035
0.5,2,15,0.17,50.8,0.985812
0.5,2,15,0.17,76.2,0.977597
0.5,2,15,0.25,25.4,0.923817
0.5,2,15,0.25,50.8,0.963028
0.5,2,15,0.25,76.2,0.951923
1,1,9,0.17,25.4,0.836039
1,1,9,0.17,50.8,0.95878
1,1,9,0.17,76.2,0.935305
1,1,9,0.25,25.4,0.92877
1,1,9,0.25,50.8,0.960118
1,1,9,0.25,76.2,0.948907
1,1,15,0.17,25.4,0.892587
1,1,15,0.17,50.8,0.926713
1,1,15,0.17,76.2,0.918952
1,1,15,0.25,25.4,0.84806
1,1,15,0.25,50.8,0.888552
1,1,15,0.25,76.2,0.891603
1,1.5,9,0.17,25.4,0.729675
1,1.5,9,0.17,50.8,0.866237
1,1.5,9,0.17,76.2,0.839703
1,1.5,9,0.25,25.4,0.828504
1,1.5,9,0.25,50.8,0.907194
1,1.5,9,0.25,76.2,0.905277
1,1.5,15,0.17,25.4,0.847049
1,1.5,15,0.17,50.8,0.851349
1,1.5,15,0.17,76.2,0.854764
1,1.5,15,0.25,25.4,0.784996
1,1.5,15,0.25,50.8,0.813058
1,1.5,15,0.25,76.2,0.830848
1,2,9,0.17,25.4,0.681678
1,2,9,0.17,50.8,0.753423
1,2,9,0.17,76.2,0.750256
1,2,9,0.25,25.4,0.632413
1,2,9,0.25,50.8,
1,2,9,0.25,76.2,
1,2,15,0.17,25.4,
1,2,15,0.17,50.8,
1,2,15,0.17,76.2,
1,2,15,0.25,25.4,
1,2,15,0.25,50.8,
1,2,15,0.25,76.2,
1.5,1,9,0.17,25.4,
1.5,1,9,0.17,50.8,
1.5,1,9,0.17,76.2,
1.5,1,9,0.25,25.4,
1.5,1,9,0.25,50.8,
1.5,1,9,0.25,76.2,
1.5,1,15,0.17,25.4,
1.5,1,15,0.17,50.8,
1.5,1,15,0.17,76.2,
1.5,1,15,0.25,25.4,
1.5,1,15,0.25,50.8,
1.5,1,15,0.25,76.2,
1.5,1.5,9,0.17,25.4,
1.5,1.5,9,0.17,50.8,
1.5,1.5,9,0.17,76.2,
1.5,1.5,9,0.25,25.4,
1.5,1.5,9,0.25,50.8,
1.5,1.5,9,0.25,76.2,
1.5,1.5,15,0.17,25.4,
1.5,1.5,15,0.17,50.8,
1.5,1.5,15,0.17,76.2,
1.5,1.5,15,0.25,25.4,
1.5,1.5,15,0.25,50.8,
1.5,1.5,15,0.25,76.2,
1.5,2,9,0.17,25.4,
1.5,2,9,0.17,50.8,
1.5,2,9,0.17,76.2,
1.5,2,9,0.25,25.4,
1.5,2,9,0.25,50.8,
1.5,2,9,0.25,76.2,
1.5,2,15,0.17,25.4,
1.5,2,15,0.17,50.8,
1.5,2,15,0.17,76.2,
1.5,2,15,0.25,25.4,
1.5,2,15,0.25,50.8,
1.5,2,15,0.25,76.2,
